host_id,timestamp,event_sequence,label,fault_type
0,1885,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
0,33,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
0,815,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
0,2922,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
0,565,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
0,3239,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
0,2702,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
0,2804,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
0,869,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
0,1069,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
0,1634,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
0,1934,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
0,3031,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
0,2523,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,2435,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, ERROR_IO_EXCEPTION, RESTART, RECOVERBLOCK",Anomaly,IO_EXCEPTION
1,2960,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,3328,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
1,3281,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,224,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
1,3267,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,2260,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,1403,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,3522,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,409,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,3438,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,2859,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,3184,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
1,22,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,744,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKRECEIVED, TRANSFER, REPLICATION_COMPLETED",Normal,NONE
1,3035,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
1,3163,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, BLOCKREPORT, REPLICATION_COMPLETED",Normal,NONE
2,2751,"SERVICESTART, DATANODE_REGISTER, BLOCKRECEIVED, TRANSFER, ERROR_DISK_FAILURE, RECOVERBLOCK, RESTART",Anomaly,DISK_FAILURE
