host_id,fault_type,fault_start_time,first_detection_time,lead_time_seconds,early_warning_duration
1,IO_EXCEPTION,2435,2195,240,240
2,DISK_FAILURE,2751,2455,296,300
4,DISK_FAILURE,3107,2810,297,300
5,NETWORK_TIMEOUT,886,710,176,180
5,CHECKSUM_ERROR,2645,2495,150,150
6,MEMORY_LEAK,1843,1430,413,420
9,DISK_FAILURE,2809,2510,299,300
10,IO_EXCEPTION,1575,1335,240,240
10,NETWORK_TIMEOUT,2583,2405,178,180
12,NETWORK_TIMEOUT,2808,2635,173,180
13,DISK_FAILURE,1522,1225,297,300
15,DISK_FAILURE,862,565,297,300
18,DISK_FAILURE,1844,1545,299,300
