time_s,host_id,vm_id,cpu_util,power_w,temp_c,label
0.1,0,0,0.500,678.64,51.1,0
0.1,1,1,0.500,676.39,48.8,0
0.1,2,2,0.500,678.33,50.8,0
0.1,0,3,0.500,676.38,49.7,0
0.1,1,4,0.500,677.32,49.6,0
0.1,2,5,0.500,676.93,51.6,0
20.1,0,0,0.500,678.64,51.1,0
20.1,1,1,0.500,676.39,48.8,0
20.1,2,2,0.500,678.33,50.8,0
20.1,0,3,0.500,676.38,49.7,0
20.1,1,4,0.500,677.32,49.6,0
20.1,2,5,0.500,676.93,51.6,0
200.0,0,0,0.750,678.64,63.6,1
200.0,1,1,0.750,676.39,61.3,1
200.0,2,2,0.750,678.33,63.3,1
200.0,0,3,0.750,676.38,62.2,1
200.0,1,4,0.750,677.32,62.1,1
200.0,2,5,0.750,676.93,64.1,1
200.1,0,0,0.250,603.64,48.6,1
200.1,1,1,0.250,601.39,46.3,1
200.1,2,2,0.250,603.33,48.3,1
200.1,0,3,0.250,601.38,47.2,1
200.1,1,4,0.250,602.32,47.1,1
200.1,2,5,0.250,601.93,49.1,1
200.2,0,0,0.250,603.64,48.6,1
200.2,1,1,0.250,601.39,46.3,1
200.2,2,2,0.250,603.33,48.3,1
200.2,0,3,0.250,601.38,47.2,1
200.2,1,4,0.250,602.32,47.1,1
200.2,2,5,0.250,601.93,49.1,1
200.3,0,0,0.250,603.64,48.6,1
200.3,1,1,0.250,601.39,46.3,1
200.3,2,2,0.250,603.33,48.3,1
200.3,0,3,0.250,601.38,47.2,1
200.3,1,4,0.250,602.32,47.1,1
200.3,2,5,0.250,601.93,49.1,1
200.4,0,0,0.250,603.64,48.6,1
200.4,1,1,0.250,601.39,46.3,1
200.4,2,2,0.250,603.33,48.3,1
200.4,0,3,0.250,601.38,47.2,1
200.4,1,4,0.250,602.32,47.1,1
200.4,2,5,0.250,601.93,49.1,1
200.5,0,0,0.250,603.64,48.6,1
200.5,1,1,0.250,601.39,46.3,1
200.5,2,2,0.250,603.33,48.3,1
200.5,0,3,0.250,601.38,47.2,1
200.5,1,4,0.250,602.32,47.1,1
200.5,2,5,0.250,601.93,49.1,1
200.6,0,0,0.250,603.64,48.6,1
200.6,1,1,0.250,601.39,46.3,1
200.6,2,2,0.250,603.33,48.3,1
200.6,0,3,0.250,601.38,47.2,1
200.6,1,4,0.250,602.32,47.1,1
200.6,2,5,0.250,601.93,49.1,1
200.7,0,0,0.250,603.64,48.6,1
200.7,1,1,0.250,601.39,46.3,1
200.7,2,2,0.250,603.33,48.3,1
200.7,0,3,0.250,601.38,47.2,1
200.7,1,4,0.250,602.32,47.1,1
200.7,2,5,0.250,601.93,49.1,1
200.8,0,0,0.250,603.64,48.6,1
200.8,1,1,0.250,601.39,46.3,1
200.8,2,2,0.250,603.33,48.3,1
200.8,0,3,0.250,601.38,47.2,1
200.8,1,4,0.250,602.32,47.1,1
200.8,2,5,0.250,601.93,49.1,1
200.9,0,0,0.250,603.64,48.6,1
200.9,1,1,0.250,601.39,46.3,1
